Phenotype,Source
union#G448#Other specified headache syndromes,Binary
union#G45#Transient cerebral ischaemic attacks and related syndromes,Binary
union#G450#Vertebro-basilar artery syndrome,Binary
union#G451#Carotid artery syndrome (hemispheric),Binary
union#G453#Amaurosis fugax,Binary
union#G454#Transient global amnesia,Binary
union#G458#Other transient cerebral ischaemic attacks and related syndromes,Binary
union#G459#Transient cerebral ischaemic attack unspecified,Binary
union#G46#Vascular syndromes of brain in cerebrovascular diseases,Binary
union#G463#Brain stem stroke syndrome,Binary
union#G464#Cerebellar stroke syndrome,Binary
union#G467#Other lacunar syndromes,Binary
union#G47#Sleep disorders,Binary
union#G470#Disorders of initiating and maintaining sleep [insomnias],Binary
union#G471#Disorders of excessive somnolence [hypersomnias],Binary
union#G472#Disorders of the sleep-wake schedule,Binary
union#G473#Sleep apnoea,Binary
union#G474#Narcolepsy and cataplexy,Binary
union#G478#Other sleep disorders,Binary
union#G479#Sleep disorder unspecified,Binary
union#G50#Disorders of trigeminal nerve,Binary
union#G500#Trigeminal neuralgia,Binary
union#G501#Atypical facial pain,Binary
union#G509#Disorder of trigeminal nerve unspecified,Binary
union#G51#Facial nerve disorders,Binary
union#G510#Bell palsy,Binary
union#G513#Clonic hemifacial spasm,Binary
union#G518#Other disorders of facial nerve,Binary
union#G519#Disorder of facial nerve unspecified,Binary
union#G52#Disorders of other cranial nerves,Binary
union#G523#Disorders of hypoglossal nerve,Binary
union#G528#Disorders of other specified cranial nerves,Binary
union#G529#Cranial nerve disorder unspecified,Binary
union#G53#Cranial nerve disorders in diseases classified elsewhere,Binary
union#G530#Postzoster neuralgia,Binary
union#G54#Nerve root and plexus disorders,Binary
union#G540#Brachial plexus disorders,Binary
union#G544#Lumbosacral root disorders not elsewhere classified,Binary
union#G546#Phantom limb syndrome with pain,Binary
union#G548#Other nerve root and plexus disorders,Binary
union#G549#Nerve root and plexus disorder unspecified,Binary
union#G55#Nerve root and plexus compressions in diseases classified elsewhere,Binary
union#G550#Nerve root and plexus compressions in neoplastic disease,Binary
union#G551#Nerve root and plexus compressions in intervertebral disc disorders,Binary
union#G552#Nerve root and plexus compressions in spondylosis,Binary
union#G553#Nerve root and plexus compressions in other dorsopathies,Binary
union#G558#Nerve root and plexus compressions in other diseases classified elsewhere,Binary
union#G56#Mononeuropathies of upper limb,Binary
union#G560#Carpal tunnel syndrome,Binary
union#G561#Other lesions of median nerve,Binary
union#G562#Lesion of ulnar nerve,Binary
union#G563#Lesion of radial nerve,Binary
union#G568#Other mononeuropathies of upper limb,Binary
union#G569#Mononeuropathy of upper limb unspecified,Binary
union#G57#Mononeuropathies of lower limb,Binary
union#G570#Lesion of sciatic nerve,Binary
union#G571#Meralgia paraesthetica,Binary
union#G573#Lesion of lateral popliteal nerve,Binary
union#G575#Tarsal tunnel syndrome,Binary
union#G576#Lesion of plantar nerve,Binary
union#G578#Other mononeuropathies of lower limb,Binary
union#G579#Mononeuropathy of lower limb unspecified,Binary
union#G58#Other mononeuropathies,Binary
union#G587#Mononeuritis multiplex,Binary
union#G588#Other specified mononeuropathies,Binary
union#G589#Mononeuropathy unspecified,Binary
union#G59#Mononeuropathy in diseases classified elsewhere,Binary
union#G590#Diabetic mononeuropathy,Binary
union#G60#Hereditary and idiopathic neuropathy,Binary
union#G600#Hereditary motor and sensory neuropathy,Binary
union#G608#Other hereditary and idiopathic neuropathies,Binary
union#G609#Hereditary and idiopathic neuropathy unspecified,Binary
union#G61#Inflammatory polyneuropathy,Binary
union#G618#Other inflammatory polyneuropathies,Binary
union#G619#Inflammatory polyneuropathy unspecified,Binary
union#G62#Other polyneuropathies,Binary
union#G620#Drug-induced polyneuropathy,Binary
union#G621#Alcoholic polyneuropathy,Binary
union#G628#Other specified polyneuropathies,Binary
union#G629#Polyneuropathy unspecified,Binary
union#G63#Polyneuropathy in diseases classified elsewhere,Binary
union#G632#Diabetic polyneuropathy,Binary
union#G633#Polyneuropathy in other endocrine and metabolic diseases,Binary
union#G64#Other disorders of peripheral nervous system,Binary
union#G70#Myasthenia gravis and other myoneural disorders,Binary
union#G700#Myasthenia gravis,Binary
union#G709#Myoneural disorder unspecified,Binary
union#G71#Primary disorders of muscles,Binary
union#G710#Muscular dystrophy,Binary
union#G711#Myotonic disorders,Binary
union#G713#Mitochondrial myopathy not elsewhere classified,Binary
union#G72#Other myopathies,Binary
union#G720#Drug-induced myopathy,Binary
union#G724#Inflammatory myopathy not elsewhere classified,Binary
union#G728#Other specified myopathies,Binary
union#G729#Myopathy unspecified,Binary
union#G73#Disorders of myoneural junction and muscle in diseases classified elsewhere,Binary
union#G80#Cerebral palsy,Binary
union#G808#Other cerebral palsy,Binary
union#G809#Cerebral palsy unspecified,Binary
union#G81#Hemiplegia,Binary
union#G811#Spastic hemiplegia,Binary
union#G819#Hemiplegia unspecified,Binary
union#G82#Paraplegia and tetraplegia,Binary
union#G821#Spastic paraplegia,Binary
union#G822#Paraplegia unspecified,Binary
union#G824#Spastic tetraplegia,Binary
union#G825#Tetraplegia unspecified,Binary
union#G83#Other paralytic syndromes,Binary
union#G831#Monoplegia of lower limb,Binary
union#G832#Monoplegia of upper limb,Binary
union#G834#Cauda equina syndrome,Binary
union#G838#Other specified paralytic syndromes,Binary
union#G839#Paralytic syndrome unspecified,Binary
union#G90#Disorders of autonomic nervous system,Binary
union#G900#Idiopathic peripheral autonomic neuropathy,Binary
union#G902#Horner syndrome,Binary
union#G903#G903 Multisystem degeneration,Binary
union#G908#Other disorders of autonomic nervous system,Binary
union#G909#Disorder of autonomic nervous system unspecified,Binary
union#G91#Hydrocephalus,Binary
union#G910#Communicating hydrocephalus,Binary
union#G911#Obstructive hydrocephalus,Binary
union#G912#Normal-pressure hydrocephalus,Binary
union#G918#Other hydrocephalus,Binary
union#G919#Hydrocephalus unspecified,Binary
union#G93#Other disorders of brain,Binary
union#G930#Cerebral cysts,Binary
union#G932#Benign intracranial hypertension,Binary
union#G934#Encephalopathy unspecified,Binary
union#G935#Compression of brain,Binary
union#G936#Cerebral oedema,Binary
union#G938#Other specified disorders of brain,Binary
union#G939#Disorder of brain unspecified,Binary
union#G94#Other disorders of brain in diseases classified elsewhere,Binary
union#G941#Hydrocephalus in neoplastic disease,Binary
union#G942#Hydrocephalus in other diseases classified elsewhere,Binary
union#G95#Other diseases of spinal cord,Binary
union#G950#Syringomyelia and syringobulbia,Binary
union#G951#Vascular myelopathies,Binary
union#G952#Cord compression unspecified,Binary
union#G958#Other specified diseases of spinal cord,Binary
union#G959#Disease of spinal cord unspecified,Binary
union#G96#Other disorders of central nervous system,Binary
union#G960#Cerebrospinal fluid leak,Binary
union#G961#Disorders of meninges not elsewhere classified,Binary
union#G968#Other specified disorders of central nervous system,Binary
union#G97#Postprocedural disorders of nervous system not elsewhere classified,Binary
union#G970#Cerebrospinal fluid leak from spinal puncture,Binary
union#G971#Other reaction to spinal and lumbar puncture,Binary
union#G978#Other postprocedural disorders of nervous system,Binary
union#G98#Other disorders of nervous system not elsewhere classified,Binary
union#G99#Other disorders of nervous system in diseases classified elsewhere,Binary
union#G990#Autonomic neuropathy in endocrine and metabolic diseases,Binary
union#G992#Myelopathy in diseases classified elsewhere,Binary
union#H00#Hordeolum and chalazion,Binary
union#H000#Hordeolum and other deep inflammation of eyelid,Binary
union#H001#Chalazion,Binary
union#H01#Other inflammation of eyelid,Binary
union#H010#Blepharitis,Binary
union#H018#Other specified inflammation of eyelid,Binary
union#H019#Inflammation of eyelid unspecified,Binary
union#H02#Other disorders of eyelid,Binary
union#H020#Entropion and trichiasis of eyelid,Binary
union#H021#Ectropion of eyelid,Binary
union#H022#Lagophthalmos,Binary
union#H023#Blepharochalasis,Binary
union#H024#Ptosis of eyelid,Binary
union#H025#Other disorders affecting eyelid function,Binary
union#H026#Xanthelasma of eyelid,Binary
union#H028#Other specified disorders of eyelid,Binary
union#H029#Disorder of eyelid unspecified,Binary
union#H03#Disorders of eyelid in diseases classified elsewhere,Binary
union#H031#Involvement of eyelid in other infectious diseases classified elsewhere,Binary
union#H04#Disorders of lacrimal system,Binary
union#H041#Other disorders of lacrimal gland,Binary
union#H042#Epiphora,Binary
union#H044#Chronic inflammation of lacrimal passages,Binary
union#H045#Stenosis and insufficiency of lacrimal passages,Binary
union#H048#Other disorders of lacrimal system,Binary
union#H049#Disorder of lacrimal system unspecified,Binary
union#H05#Disorders of orbit,Binary
union#H052#Exophthalmic conditions,Binary
union#H058#Other disorders of orbit,Binary
union#H06#Disorders of lacrimal system and orbit in diseases classified elsewhere,Binary
union#H062#Dysthyroid exophthalmos,Binary
union#H10#Conjunctivitis,Binary
union#H104#Chronic conjunctivitis,Binary
union#H109#Conjunctivitis unspecified,Binary
union#H11#Other disorders of conjunctiva,Binary
union#H110#Pterygium,Binary
union#H111#Conjunctival degenerations and deposits,Binary
union#H112#Conjunctival scars,Binary
union#H113#Conjunctival haemorrhage,Binary
union#H114#Other conjunctival vascular disorders and cysts,Binary
union#H118#Other specified disorders of conjunctiva,Binary
union#H119#Disorder of conjunctiva unspecified,Binary
union#H13#Disorders of conjunctiva in diseases classified elsewhere,Binary
union#H15#Disorders of sclera,Binary
union#H150#Scleritis,Binary
union#H151#Episcleritis,Binary
union#H158#Other disorders of sclera,Binary
union#H16#Keratitis,Binary
union#H160#Corneal ulcer,Binary
union#H161#Other superficial keratitis without conjunctivitis,Binary
union#H162#Keratoconjunctivitis,Binary
union#H164#Corneal neovascularization,Binary
union#H168#Other keratitis,Binary
union#H169#Keratitis unspecified,Binary
union#H17#Corneal scars and opacities,Binary
union#H178#Other corneal scars and opacities,Binary
union#H179#Corneal scar and opacity unspecified,Binary
union#H18#Other disorders of cornea,Binary
union#H180#Corneal pigmentations and deposits,Binary
union#H181#Bullous keratopathy,Binary
union#H182#Other corneal oedema,Binary
union#H183#Changes in corneal membranes,Binary
union#H184#Corneal degeneration,Binary
union#H185#Hereditary corneal dystrophies,Binary
union#H186#Keratoconus,Binary
union#H188#Other specified disorders of cornea,Binary
union#H189#Disorder of cornea unspecified,Binary
union#H19#Disorders of sclera and cornea in diseases classified elsewhere,Binary
union#H193#Keratitis and keratoconjunctivitis in other diseases classified elsewhere,Binary
union#H20#Iridocyclitis,Binary
union#H201#Chronic iridocyclitis,Binary
union#H208#Other iridocyclitis,Binary
union#H209#Iridocyclitis unspecified,Binary
union#H21#Other disorders of iris and ciliary body,Binary
union#H210#Hyphaema,Binary
union#H211#Other vascular disorders of iris and ciliary body,Binary
union#H212#Degeneration of iris and ciliary body,Binary
union#H215#Other adhesions and disruptions of iris and ciliary body,Binary
union#H218#Other specified disorders of iris and ciliary body,Binary
union#H219#Disorder of iris and ciliary body unspecified,Binary
union#H22#Disorders of iris and ciliary body in diseases classified elsewhere,Binary
union#H221#Iridocyclitis in other diseases classified elsewhere,Binary
union#H25#Senile cataract,Binary
union#H250#Senile incipient cataract,Binary
union#H251#Senile nuclear cataract,Binary
union#H258#Other senile cataract,Binary
union#H259#Senile cataract unspecified,Binary
union#H26#Other cataract,Binary
union#H260#Infantile juvenile and presenile cataract,Binary
union#H261#Traumatic cataract,Binary
union#H262#Complicated cataract,Binary
union#H264#After-cataract,Binary
union#H268#Other specified cataract,Binary
union#H269#Cataract unspecified,Binary
union#H27#Other disorders of lens,Binary
union#H270#Aphakia,Binary
union#H271#Dislocation of lens,Binary
union#H278#Other specified disorders of lens,Binary
union#H28#Cataract and other disorders of lens in diseases classified elsewhere,Binary
union#H280#Diabetic cataract,Binary
union#H30#Chorioretinal inflammation,Binary
union#H309#Chorioretinal inflammation unspecified,Binary
union#H31#Other disorders of choroid,Binary
union#H310#Chorioretinal scars,Binary
union#H311#Choroidal degeneration,Binary
union#H313#Choroidal haemorrhage and rupture,Binary
union#H318#Other specified disorders of choroid,Binary
union#H33#Retinal detachments and breaks,Binary
union#H330#Retinal detachment with retinal break,Binary
union#H331#Retinoschisis and retinal cysts,Binary
union#H332#Serous retinal detachment,Binary
union#H333#Retinal breaks without detachment,Binary
union#H334#Traction detachment of retina,Binary
union#H335#Other retinal detachments,Binary
union#H34#Retinal vascular occlusions,Binary
union#H341#Central retinal artery occlusion,Binary
union#H342#Other retinal artery occlusions,Binary
union#H348#Other retinal vascular occlusions,Binary
union#H349#Retinal vascular occlusion unspecified,Binary
